Number,Target variable,Gluteus medius,Gluteus minimus,Adductor longus,Adductor brevis,Adductor magnus,Tensor fasciae latae,Gracilis,Gluteus maximus,Psoas major,Quadriceps,Piriformis,Ipsilateral erector spinae,Contralateral erector spinae,Ipsilateral internal oblique,Contralateral internal oblique,Ipsilateral external oblique,Contralateral external oblique
527,11.4141581,0.29270433,9.27205922,14.01774586,11.09496709,14.9986074,7.86192923,6.11764855,3.52423478,40.28067837,24.88484119,0.29276888,91.02486818,42.57528699,23.13821127,9.51221874,21.93330653,12.32823164
528,11.31696395,0.34223134,6.68037917,19.34061764,0.00222304,20.46557873,7.6980212,6.10602547,1.15318111,39.54007446,28.56627189,0.26532659,90.42098238,32.47533669,36.12531232,9.14538231,36.31680662,11.9040914
529,14.51053581,25.45152837,2.5963016,21.45912724,21.42214258,8.93697308,9.31995431,6.75700163,2.29930756,41.28095635,12.14784551,0.42522205,162.2345364,80.86870855,44.13952669,2.57230429,36.30584679,22.48787519
530,14.70647824,2.61342554,2.20711033,22.3401892,12.46174586,11.26052714,9.16530338,6.86991993,1.02727948,41.9214005,17.06805346,0.27422457,165.4130809,90.23287091,37.67819005,2.0259212,36.19597483,19.96765756
531,14.83358021,0.30452124,1.64738231,21.49531315,18.37937526,16.35748485,8.9439774,6.92501338,0.62637799,41.65734752,33.26835746,0.63131527,162.2341035,76.08641896,43.61258589,8.37463107,36.42793404,16.66208184
532,14.89104616,-0.27956457,1.08189048,19.43584789,16.95111701,36.3043655,8.66244429,6.9578153,2.47057159,41.94282558,37.04343775,0.03948283,157.3330718,43.68630966,45.78105949,15.66456713,35.54357423,11.91674241
533,14.84267335,-1.8090557,0.82266077,25.12645456,16.34751899,41.90665661,8.41928104,6.92309328,5.29035301,41.54247298,36.06843352,-1.22096717,155.8405963,30.06730479,46.20198776,16.69247336,37.08702965,7.5090266
534,14.69620826,-3.91706937,0.79158578,8.42874404,16.34751899,13.01723097,8.27844054,6.9073822,5.63416492,41.75208295,20.53718405,-2.94371111,157.2167089,28.06200612,44.75807726,11.99097166,36.56593305,4.12653959
535,10.93933921,-0.93206539,2.94155174,21.96177579,16.72995737,15.80283567,8.57304534,4.86378022,8.43279803,41.57984268,5.54939267,-1.1654639,69.42794871,146.0862287,3.04156257,26.64130133,17.6068933,27.46646474
536,11.10445503,-0.48950101,3.86911998,6.57702251,16.56059066,11.32348458,8.62825441,5.31885477,13.37267249,42.55634043,4.46074672,-0.65978905,86.17778873,135.1256207,11.02270577,37.09054748,15.88675166,30.69056473
537,11.17894357,0.60344032,5.56693034,18.80155074,9.71318575,2.92578034,8.63255295,5.01140925,8.66781897,42.85852237,2.96231165,0.745703944,108.811252,117.1231457,25.61165562,35.32333139,18.9060747,25.87026287
538,11.18658059,1.05616923,5.55532925,22.41434685,7.61528218,1.46181173,8.49428614,5.11666373,3.50732632,42.92545547,3.52079008,0.95915011,102.8043032,102.9629502,40.72022948,34.33953654,21.74114935,22.43065773
539,11.13268125,0.78680585,3.98178525,22.55474253,12.00843527,2.64421136,8.30122562,5.5752511,1.7771828,42.84028169,5.97391118,2.06403406,77.16897094,108.8434675,40.26485246,35.40215952,21.01842108,25.7002974
